City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ahipara,NZ,2021-06-02 15:31:12,-35.1667,173.1667,56.05,78,97,6.6
1,Karoi,ZW,2021-06-02 15:31:13,-16.8099,29.6925,67.32,49,99,2.13
2,Houma,US,2021-06-02 15:31:13,29.5958,-90.7195,82.0,88,75,5.75
3,Hithadhoo,MV,2021-06-02 15:31:14,-0.6,73.0833,83.77,68,65,18.37
4,Lompoc,US,2021-06-02 15:26:51,34.6391,-120.4579,65.1,73,83,4.94
5,Hilo,US,2021-06-02 15:31:14,19.7297,-155.09,72.25,82,90,5.75
6,Bluff,NZ,2021-06-02 15:31:14,-46.6,168.3333,49.8,83,69,10.07
7,Punta Arenas,CL,2021-06-02 15:31:15,-53.15,-70.9167,26.62,93,20,6.26
8,Sorong,ID,2021-06-02 15:31:15,-0.8833,131.25,78.64,88,82,5.64
9,Mar Del Plata,AR,2021-06-02 15:30:00,-38.0023,-57.5575,54.09,58,40,3.0
10,Jamestown,US,2021-06-02 15:31:15,42.097,-79.2353,70.18,55,1,11.5
11,Lasa,IT,2021-06-02 15:31:16,46.6166,10.7002,73.31,77,68,3.56
12,Salamiyah,SY,2021-06-02 15:31:16,35.0113,37.0532,72.25,28,0,16.93
13,Bengkulu,ID,2021-06-02 15:31:16,-3.8004,102.2655,78.53,83,17,3.53
14,Hermanus,ZA,2021-06-02 15:31:17,-34.4187,19.2345,62.91,82,100,9.01
15,Laguna,US,2021-06-02 15:31:17,38.421,-121.4238,85.24,66,1,5.99
16,Chokurdakh,RU,2021-06-02 15:31:17,70.6333,147.9167,59.29,28,69,4.09
17,Waddan,LY,2021-06-02 15:31:18,29.1614,16.139,105.31,10,99,7.27
18,Arraial Do Cabo,BR,2021-06-02 15:31:18,-22.9661,-42.0278,80.56,69,20,11.5
19,Itacarambi,BR,2021-06-02 15:31:18,-15.1022,-44.0919,91.33,26,1,5.35
20,Along,IN,2021-06-02 15:31:19,28.1667,94.7667,73.31,97,75,1.48
21,Coihaique,CL,2021-06-02 15:31:19,-45.5752,-72.0662,43.41,87,90,3.44
22,Fortuna,US,2021-06-02 15:31:19,40.5982,-124.1573,53.92,95,90,3.44
23,Umm Lajj,SA,2021-06-02 15:31:19,25.0213,37.2685,86.7,57,0,11.88
24,Souillac,MU,2021-06-02 15:31:20,-20.5167,57.5167,77.38,65,40,17.76
25,Faya,SA,2021-06-02 15:31:20,18.3851,42.4509,82.92,18,56,14.65
26,Northport,US,2021-06-02 15:31:20,33.229,-87.5772,73.26,92,40,0.0
27,Cape Town,ZA,2021-06-02 15:30:10,-33.9258,18.4232,63.12,66,20,4.0
28,Busselton,AU,2021-06-02 15:31:21,-33.65,115.3333,60.31,69,94,3.06
29,Syedove,UA,2021-06-02 15:31:21,47.0768,38.156,63.0,81,99,15.46
30,Qaanaaq,GL,2021-06-02 15:31:22,77.484,-69.3632,27.16,80,26,2.44
31,Menasha,US,2021-06-02 15:31:22,44.2022,-88.4465,75.38,50,40,4.61
32,Tuatapere,NZ,2021-06-02 15:31:22,-46.1333,167.6833,49.82,90,29,5.28
33,Rawson,AR,2021-06-02 15:31:23,-43.3002,-65.1023,46.54,58,51,9.19
34,Hualmay,PE,2021-06-02 15:31:23,-11.0964,-77.6139,67.96,74,100,5.37
35,Khatanga,RU,2021-06-02 15:31:23,71.9667,102.5,33.6,86,100,4.5
36,Luderitz,NA,2021-06-02 15:31:23,-26.6481,15.1594,69.35,36,0,14.32
37,Jardim,BR,2021-06-02 15:31:24,-21.4803,-56.1381,90.73,31,0,7.09
38,Maragogi,BR,2021-06-02 15:31:24,-9.0122,-35.2225,81.57,64,63,10.2
39,Porto Novo,BJ,2021-06-02 15:31:25,6.4965,2.6036,85.82,63,51,10.42
40,Nha Trang,VN,2021-06-02 15:31:25,12.25,109.1833,86.0,79,100,5.08
41,Georgetown,MY,2021-06-02 15:29:53,5.4112,100.3354,84.88,87,20,5.75
42,Buala,SB,2021-06-02 15:31:25,-8.145,159.5921,79.93,83,46,4.07
43,Igarka,RU,2021-06-02 15:31:26,67.4667,86.5833,33.3,100,100,5.3
44,Onokhoy,RU,2021-06-02 15:31:26,51.932,108.0747,53.35,83,68,5.08
45,Manggar,ID,2021-06-02 15:31:26,-2.8833,108.2667,83.39,75,43,8.32
46,Butaritari,KI,2021-06-02 15:31:27,3.0707,172.7902,82.29,80,100,15.99
47,Mahebourg,MU,2021-06-02 15:31:27,-20.4081,57.7,77.29,65,40,13.8
48,Kruisfontein,ZA,2021-06-02 15:31:27,-34.0033,24.7314,59.88,73,72,14.12
49,Puerto Ayora,EC,2021-06-02 15:31:27,-0.7393,-90.3518,76.96,83,70,11.99
50,Rikitea,PF,2021-06-02 15:31:28,-23.1203,-134.9692,72.27,58,98,18.28
51,Namibe,AO,2021-06-02 15:31:28,-15.1961,12.1522,73.06,79,77,9.69
52,Sitka,US,2021-06-02 15:29:06,57.0531,-135.33,49.89,87,75,10.36
53,Nikolskoye,RU,2021-06-02 15:31:29,59.7035,30.7861,66.09,48,19,7.47
54,Bastia,FR,2021-06-02 15:31:29,42.6667,9.3333,71.4,90,90,8.52
55,Bambous Virieux,MU,2021-06-02 15:31:29,-20.3428,57.7575,77.25,65,40,18.39
